c file generated by genMUBQP.R with seed  0 the 04/24/2017 14:27:44 
c version 1.0
c
c one column for each dimension
c each matrix is given by: c(1,1) ... c(N,1) c(1,2) ... c(N,2) ... c(N,N)
c
p MUBQP 0 2 200 0.8 
p matrices
0  0  
39  -26  
0  0  
-17  80  
94  32  
0  0  
27  -65  
0  0  
92  0  
-47  98  
-42  55  
0  0  
-37  -75  
1  -23  
2  -24  
13  -32  
-76  20  
33  -63  
-71  34  
78  -78  
-66  -18  
84  29  
85  11  
29  58  
0  0  
63  39  
-36  72  
-17  -51  
0  0  
55  4  
62  -19  
0  0  
17  -34  
-20  -48  
-44  53  
-46  75  
68  68  
3  -33  
-7  78  
-65  -22  
94  92  
29  43  
0  0  
0  0  
-87  -76  
96  -71  
36  -88  
16  75  
0  0  
65  -18  
40  21  
0  -29  
0  0  
81  -57  
0  0  
15  20  
69  46  
0  0  
54  -97  
-49  -79  
-94  28  
-47  -1  
48  -65  
19  -9  
0  0  
-79  19  
98  -85  
-34  29  
29  20  
-8  5  
0  0  
69  20  
20  -48  
2  -9  
83  49  
80  73  
-73  11  
0  0  
0  0  
-88  -85  
-56  -57  
44  79  
17  56  
-65  -17  
-35  -33  
-40  -32  
3  68  
0  0  
0  0  
29  48  
14  81  
44  -62  
61  1  
54  -62  
-85  45  
-76  10  
-60  -22  
-85  85  
54  18  
-32  68  
61  57  
55  -56  
80  -46  
-51  4  
53  -74  
70  44  
-74  -80  
-87  90  
-96  -38  
0  0  
59  -32  
22  -67  
-32  2  
-12  2  
27  -91  
-44  71  
-95  -74  
32  26  
-45  38  
34  11  
-41  -9  
-19  16  
-86  -71  
-77  -58  
41  -73  
-63  89  
96  87  
0  0  
-60  -78  
0  0  
49  87  
0  0  
-64  58  
-27  -67  
-38  51  
-50  -66  
41  -78  
81  -66  
-3  -62  
-29  -64  
86  54  
65  5  
0  0  
-84  -72  
-73  -69  
-47  -56  
76  -74  
-77  -35  
22  36  
-55  -76  
72  86  
0  0  
57  -8  
0  0  
-73  63  
-77  -20  
22  -61  
-65  44  
4  -1  
-49  -29  
-12  25  
-2  -38  
0  0  
61  91  
-78  56  
96  52  
43  -41  
63  62  
-100  -27  
-76  -69  
67  94  
8  -65  
-35  -23  
0  0  
88  -66  
0  0  
0  0  
-90  -16  
99  -43  
-77  -84  
-47  -6  
-13  -33  
0  0  
93  67  
-98  41  
-24  -7  
-92  12  
66  -54  
7  -16  
14  73  
15  -1  
21  13  
76  96  
-42  -52  
30  66  
7  93  
60  -71  
0  0  
9  -30  
0  -38  
-79  -70  
-6  -63  
-50  80  
18  45  
15  56  
-80  88  
-16  -29  
41  59  
-29  -5  
77  -38  
80  65  
76  3  
26  -71  
-64  -19  
0  0  
92  76  
0  0  
-49  8  
-51  60  
98  -90  
58  84  
-8  -41  
20  22  
46  -15  
-8  89  
-100  -86  
-27  -11  
35  -72  
0  0  
-72  97  
-93  -87  
27  -5  
-60  -12  
-42  88  
0  0  
-22  38  
0  0  
-63  -21  
13  -52  
-39  -13  
-39  38  
30  -69  
52  89  
8  0  
-3  -100  
-52  -73  
-89  88  
-35  -67  
-76  -8  
71  3  
-86  -89  
-74  38  
83  33  
-47  94  
-38  70  
39  7  
5  -7  
-39  46  
0  0  
-71  8  
-14  28  
91  42  
0  0  
-56  86  
-30  52  
34  99  
11  -94  
-63  -44  
0  0  
-44  -33  
46  24  
0  0  
64  -34  
-9  -77  
7  -24  
46  47  
0  0  
-77  81  
-97  -23  
-80  -90  
0  0  
-40  -73  
15  46  
68  39  
-80  29  
6  92  
-73  -16  
0  0  
-75  5  
0  0  
-96  47  
0  0  
-99  -93  
41  -17  
43  6  
-1  42  
37  -51  
33  30  
66  30  
0  0  
-95  -10  
